Start time,End time,thai_transcript,translation
9.2,42.2,ดูแลลูกค้าจากบริษัทไทยพาณิชย์โปรเทคค่ะ คุยสายได้สักครู่นะคะ ขอบพระคุณค่ะ ขออนุญาตติดต่อเข้ามาดูแลค่ะ เป็นการเรียนแจ้งครรภ์สำหรับลูกค้าธนาคารไทยพาณิชย์ค่ะ แคมเปญนี้ใครๆ ในส่วนการฝากออมทรัพย์ ฝากประจำ แต่ผลตอบแทนที่มอบให้ค่ะจะเป็นเด็ก การันตีจะไม่ใช่ดอกเบี้ย เมื่อต้นคนนี้สอบถามค่ะ ปกติพี่เมญาดาได้มีการเก็บออมนะรูปแบบไหนเป็นส่วนใหญ่ไหมคะ ก็เก็บออมในธนาคารนะคะ เป็นบัญชีออมทรัพย์ ฝากประจำอยู่แล้วเนาะ,"Taking care of customers from SCB Protech company. Can I talk to you for a moment? Thank you. I would like to contact you to take care of you. This is to inform you about pregnancy for SCB customers. This campaign is for anyone who has savings deposits or fixed deposits, but the returns given will be children, guaranteed not to be interest. When asked at the beginning, does Mae Nada normally save in any form mostly? I already save in the bank, in a savings account, fixed deposit."
44.7,48.4,เดี๋ยวตอนนี้ลองพิจารณาผลตอบแทนจากโครงการดูก่อนได้นะคะ,"For now, let's try to consider the returns from the project first."
49.0,108.8,"ในการรับลูกค้าโครงการที่มาเรียน แจ้งตรงนี้ค่ะ ลักษณะโครงการคล้ายๆ กับการที่เรานำเงินไปฝากออมทรัพย์ ฝากประจำ ในแต่ละเดือนเลยค่ะ แต่ว่าผลตอบแทนค่ะที่เรามอบให้จะอยู่ในเรทการันตี จะมีเพศดอกเบี้ยเหมือนน้ำแดงนะคะ การเก็บออมแต่ละเดือนตอนนี้ ลูกค้าสามารถเลือกได้เลยค่ะ ว่าอยากเก็บ อยากออมเดือนละเท่าไหร่ สามารถปรับเพิ่ม ปรับลด ตามความเหมาะสมได้ มีตั้งแต่ 2,000 บาท สูงสุดได้อยู่ที่ 8,000 บาทต่อเดือนเลย แต่เบื้องต้นตรงนี้ เดี๋ยวหนูขออนุญาตยกตัวอย่างไปในส่วนของเรทออมยอดนิยมนะคะ ตกเฉลี่ยวันละ 90 บาท หรือเดือนละ 2,700 บาท ถ้าตัวนี้ค่ะ หากเทียบกับการที่เรานำเงิน 2,700 บาทค่ะไปฝากออมกับบัญชีปกติ ปีนึงมีเงินเก็บอยู่ที่ 32,400 บาท แต่ดอกเบี้ยที่ได้รับอ่ะค่ะ ยังไงก็ไม่เกิน 1% เหลือไม่เกิน 60 บาทต่อปี ถูกต้องไหมคะ แต่ถ้าเป็นตัวโครงการนี้ค่ะ เก็บออมจำนวนเท่ากันเลย แต่ผลตอบแทนที่จะได้ค่ะ จะได้รับเป็นเช็คการันตีเงินคืนอยู่ที่ปีละ 3,200 บาท รับ 3,200 บาทต่อปี ตั้งแต่ปีแรกที่","In receiving project customers who come to study, inform here. The nature of the project is similar to when we take money to deposit in savings, fixed deposits every month. But the returns that we offer will be at a guaranteed rate. There will be gender interest like red water. Saving each month now, customers can choose how much they want to save per month. It can be adjusted up or down as appropriate. There is a minimum of 2"
108.9,168.9,เหลือตัวโครงการค่ะ จะไม่มีการหักภาษีใดๆ ทั้งสิ้น ได้รับผลประโยชน์เต็มจำนวนแน่นอน และที่สำคัญสามารถใช้ตัวโครงการค่ะไปยื่นลดหย่อนภาษีได้อีกด้วย ไม่ทราบว่าปัจจุบันพี่เมลดาเป็นในส่วนพนักงานประจำ ข้าราชการ หรือเจ้าของธุรกิจค่ะ ตอนนี้เป็นพนักงานนะคะ ค่ะได้มีการเสียภาษีประจำปีบ้างหรือยังคะ นอกจากจะได้เก็บได้ออมแล้ว สามารถนำตัวโครงการค่ะไปยื่นลดหย่อนภาษีได้ด้วยนะคะของ 100% ซึ่งโครงการของเราค่ะจะเน้นให้ลูกค้าได้เก็บออมมาได้ใช้เงินทุกปีเพราะผลตอบแทนค่ะเราจ่ายให้ปีต่อปีเลยตั้งแต่ปีแรก เงื่อนไขตัวโครงการตรงนี้ค่ะมีอยู่ว่าลูกค้า 1 ท่านนะคะสามารถเก็บออมกับตัวโครงการอ่ะค่ะขั้นต่ำอ่ะค่ะอยู่ที่ 2 ปีเท่านั้นนะคะ แต่สูงสุดราคาห้ามเกิน 14 ปีสำหรับลูกค้า 1 ท่านค่ะ เพราะหลังจาก 14 เป็นต้นไปค่ะเราจะให้ลูกค้าหยุดการเก็บการออมได้เลยทันที ไม่ต้องส่งออมเข้ามากับทางโครงการแล้ว แต่ถ้าหากช่วงนั้นเรายังไม่ได้มีแพลนรีบใช้เงินก้อนค่ะและอยากได้รับผลประโยชน์,"This project has no tax deductions at all. You will receive the full benefits for sure. And importantly, you can use this project to file for tax deductions as well. I'm not sure if you are currently a regular employee, civil servant, or business owner. Currently, I am an employee. Have you paid your annual taxes yet? In addition to being able to save, you can also use this project to file for 100% tax deductions. Our project will focus on allowing customers to save money every year because we pay returns year by year from the first year onwards."
168.9,228.1,"ต่อตัวนี้ก็สามารถใช้สิทธิ์คงเงินต้นต่อกับทางโครงการได้อีก 10 ปีโดยการคุมเงินต้นตรงนี้ค่ะก็เปรียบเสมือนการเราปล่อยฝากเงินทิ้งไว้ให้ฝากเงินต่อไว้แต่เราไม่ต้องฝากเพิ่มและในส่งผลตอบแทนค่ะเราจะ Top Up คูณ 2 ให้จากเดิมช่วงที่เราเก็บออมมาค่ะเรารับปีละ 3,200 บาทเนาะช่วงที่แค่นอนเงินไว้ค่ะจะได้รับเพิ่มเป็นปีละ 6,400 บาทเลยไม่ต้องเก็บไม่ต้องออมแล้วแต่ว่าตอนนี้เปรียบเสมือนให้เราเป็นเสือนอนกินค่ะให้เงินของเราได้ทำงานแทนให้ตัวนี้ค่ะรับ 6,46,400 6,400 เข้ากระเป๋าให้เราได้ใช้จ่ายโดยทุกปีเลยรวมตลอดโครงการค่ะที่จะได้รับเป็นจำนวนเงินจะอยู่ที่ 492,800 บาทเลยแล้วปัจจุบันพี่มีรายได้เป็นครอบครัวหรือยังคะยังนะคะเพราะที่หนูเรียนผ่านแบบนี้ค่ะสำหรับลูกค้าที่เข้าร่วมเก็บออมด้วยกันค่ะในระหว่างการเก็บออมเราจะมอบในส่วนของทุนคุ้มครองชีวิตให้ด้วยเป็นคุณคุ้มครองการเสียชีวิตกรณีนะคะ 384,000 บาท","For this policy, you can continue the capital preservation right with the project for another 10 years by controlling the capital here. It's like letting us deposit money and leave it to continue depositing, but we don't have to deposit more. And for the return, we will top up multiplied by 2 from the original during the time we saved. We received 3,200 baht per year, just for leaving the money. We will receive an additional 6,400 baht per year without having to save anymore. But now it's like letting us be a sleeping tiger, letting our money work for us instead. Receive 6,400"
228.8,288.7,"คือการดูแลตรงนี้ไม่ต้องซื้อหรือจ่ายเพิ่มแม้แต่บาทเดียวค่ะ เรามอบการดูแลให้เลยสำหรับลูกค้าแคมเปญฟังผลประโยชน์ทั้งหมดตัวนี้ค่ะ คุณพี่มองว่าถ้าเป็นการเก็บออมเดือนละ 2,700 ตัวนี้ดูเป็นไงบ้างคะ สูงไปต่ำไปหรือพอดีแล้วคะ ก็โอเคนะคะ แบบอันนี้คือเราจะต้องถ้าเกิดว่าสนใจ หมายถึงว่าเราก็จะต้องทำเรื่องทำโทรศัพท์ แบบไม่สามารถไปทำขอทำที่ธนาคารได้ใช่ไหมคะ ถ้าเป็นในส่วนของตัวโครงการการเข้าร่วมพอร์ตการทำ เขาเรียกว่าการเข้าร่วมโครงการน่ะค่ะ ตัวนี้ค่ะสามารถแจ้งลงทะเบียนรับสิทธิ์กับเจ้าหน้าที่ได้เลย แต่ใน 2 ขั้นตอนการเก็บออมตรงเนี้ย คุณเมย์รดาสามารถทำรายการได้เองเลยนะคะ ทำด้วยการทำรายการได้เองผ่านแอพธนาคารของลูกค้าที่ใช้อยู่เป็นประจำได้เลย เพราะตรงนี้ค่ะตัวโครงการอ่ะเราจะไม่ได้เรียนเชิญลูกค้าทุกท่าน เฉพาะลูกค้าที่ได้รับสิทธิ์เรียนเชิญเข้ามาเท่านั้น เพราะตัวโครงการนี้ค่ะ จะเป็นโครงการพิเศษฉลองครบรอบ 118 ปีผลประโยชน์ เลยค่อนข้างแตกต่างจากตัวโครงการอื่นค่ะ แต่จริงๆ ตรงโครงการนี้ค่ะ ในส่วนของเรทการ","This care program doesn't require any additional purchase or payment, not even a single baht. We offer this care complimentary for customers of the campaign to hear about all the"
288.7,348.6,"ยอมคุณเมลดาปักเพิ่มปรับลดตามความเหมาะสมตามความต้องการได้เลยนะ ว่าตอนนี้อยากเก็บจากออมเดือนละเท่าไหร่ ถ้าตัวนี้อย่าเก็บจากออมให้ตัวเองสัก 1 ก้อน อย่าเก็บออมประมาณเดือนละเท่าไหร่คะ ประมาณมัน Max ได้ 8,000 ใช่ไหมคะ ถูกต้องค่ะ ถ้าเป็นในส่วนของเดี๋ยวขออนุญาตยกตัวอย่างเป็นเด็ดใกล้เคียงเนาะ ถ้าเป็นในส่วนของเรทเดือนละ 4,000 บาทอ่ะค่ะ ทุกๆ 1 ปีจะได้รับเช็คการันตีกันคืออยู่ที่ปีละ 4,800 บาท รับ 4,800 บาทต่อปีตั้งแต่ปีแรกที่คุณมีการเก็บออมเข้ามาเลย ตัวโครงการตอนนี้เหมือนกันเลยค่ะ ขั้นต่ำ 2 ปี สูงสุดได้ไม่เกิน 14 ปี หลังจากปีที่ 14 ตอนนี้ถ้าเราหยุดเก็บหยุดออมแล้วอยากได้รับผลประโยชน์ต่อก็แน่นอน เงินวัยและผลตอบแทนจาก Top Up เป็นปีละ 9,600 มอบทุนคุ้มครองการเสียชีวิตกรณีขายอยู่ที่ 576,000 บาท แล้วก็ตอนนี้ค่ะตลอดโครงการจะรับอยู่ที่ 739,200 บาทเลย แต่ถ้าตรงนี้ราคาเป็นเรทที่ออมที่สูงสุดเลยค่ะ เดือนละ 8,000 บาท ทุกๆ 1 ปีจะได้รับเช็คการันตีเงินคืนที่",
348.7,350.1,"ดอกเบี้ยปีละ 10,000 บาทเลย","Interest is 10,000 baht per year"
351.3,411.0,"รับ 10,000 บาทต่อปีตั้งแต่ปีแรกที่ออมขั้นต่ำ 2 ปีเหมือนกันค่ะ แต่สูงสุดได้ไม่เกิน 14 ปี ถ้าเกิดออมครบ 14 ปีแล้วช่วง 10 ปีหลังเราก็ไม่ต้องเก็บไม่ต้องออม ถ้ายังไม่ได้รีบใช้เงินก้อนก็แค่คงเงินต้นไว้เพื่อรับผลประโยชน์ต่อ และผลประโยชน์จาก Top Up เป็นปีละ 25,000 ค่ะ รวมตลอดโครงการจะได้รับอยู่ที่ 1 แล้ว 1 ล้าน 5 แสนบาทเลย และยังคุ้มครองการเสียชีวิตทุกกรณีด้วยค่ะ อยู่ที่ 1,200,000 บาท แต่ว่าเราต้องเลือกตั้งแต่ตอนจะเริ่มสั่งประจำเลยใช่ไหมคะ ว่าเราจะแบบฝากไปกี่ปี ถ้าตัวนี้อย่างที่แจ้งค่ะ ว่าถ้าในส่วนของการเก็บออมเนี่ย สมมติตัวเจ้าหน้าที่เป็นคนผลิตออกเองนะ สมมุติว่าเราเข้าร่วมโครงการอย่างเป็นเดทเริ่มต้นนะ เรทพิเศษเดือนละ 2,700 บาท เราเก็บออมไปก่อน แต่ถ้าตัวนี้ค่ะสมมุติว่าพักอย่างที่แจ้งณขั้นต่ำ 2 ปี แต่ถ้าสมมุติเก็บออมไป 3-4 ปี หรือแม้แต่ 2 ปีก็แล้วแต่ค่ะ เราเกิดอยากหยุดพอเท่านี้ค่ะแล้วก็หยุดได้ หยุดและแก้ชมตรงกลางเพราะว่าเงินต้นกับเงินคืนเราจ่ายแยกกันให้อยู่แล้วนะคะ","Receive 10,000 baht per year from the first year with a minimum savings"
411.2,438.6,เกี่ยวกันเพราะยังไงเราก็ได้รับเงินคืนกลับไปอยู่แล้วหนู 100% มันจะพิเศษตรงที่ ถ้าหากเกิดออมครบ 14 ปีแล้ว เราก็เลือกได้ว่าจะรับผลประโยชน์เพียงเท่านี้ หรือว่าอยากได้รับผลประโยชน์ต่อ ถ้าอยากได้รับผลประโยชน์ต่อก็แค่คงเงินต้นไว้เหมือนฝากต่อ แต่เราไม่ต้องฝากเพิ่ม ผลตอบแทนก็ Top Up เป็นคุณ สองให้อยากเก็บ อย่างออม อย่าเก็บออมประมาณเดือนละเท่าไหร่ดีคะ,"It's related because either way we will get 100% of the money back. What's special is that if we save for 14 years, we can choose whether to receive the benefits only up to this point or if we want to continue receiving benefits. If we want to continue receiving benefits, we just need to keep the principal amount like continuing the deposit, but we don't have to deposit more. The returns will top up for you. How much should I save per month?"
