Start time,End time,thai_transcript,translation
13.2,17.0,ฮัลโหล สวัสดีค่ะ ขออนุญาตเล่นสายคุณนันทพงศ์ค่ะ,"Hello, may I speak to Khun Nantapong?"
17.7,72.3,เสาวนีย์ติดต่อจากไทยพาณิชย์โปรเทค สำนักงานใหญ่ค่ะ รบกวนเวลาสักครู่ สะดวกคุยสายได้นะคะ ค่ะ ขอบพระคุณมากค่ะ ก่อนอื่นเจ้าหน้าที่ขอแนะนำตัวเองตามกฎหมายนะคะ ชื่อเสาวนีย์ วาดฐาน เลขที่ใบอนุญาต 6603013069 ขออนุญาตบันทึกเสียงการสนทนาเพื่อนำไปปรับปรุงการให้บริการนะคะ วันนี้ที่โทรหาคุณนันทพงศ์เนื่องด้วยไทยพาณิชย์สำนักงานใหญ่ค่ะ จัดเป็นแคมเปญพิเศษเพื่อฉลองครบรอบ 118 ปี หรือจัดทำโครงการเฉพาะกิจให้กับลูกค้าที่มีรายชื่อเข้ามาจังหวัดละ 100 รายชื่อนะคะ ทีนี้ขออนุญาตสอบถามคุณนันทพงศ์นิดนึง ปัจจุบันยังใช้ไทยพาณิชย์อยู่ไหมคะ ตอนนี้ใช้เป็นบางครั้ง พี่อ๋อ แต่ไม่ได้ตลอดอ่ะ โอเค ขอบพระคุณมากค่ะ เดี๋ยวพี่ขออัปเดตที่อยู่ที่เคยให้ไว้อยู่นิดนึงนะ อยู่ที่ตำบลป่าตอง อำเภอกระทู้ จังหวัดภูเก็ต ถูกต้องไหมคะ,"Saowanee is contacting from SCB Protech Head Office. Sorry to bother you for a moment, are you available to talk? Thank you very much. First of all, let me introduce myself as required by law. My name is Saowanee Wattana, license number 6603013069. I would like to ask for your permission to record the conversation for service improvement. The reason I'm calling you today, Mr. Nanthapong, is that SCB Head Office is organizing a special campaign to celebrate the 118th anniversary, or a special project for 100 selected customers in each province. Now, let me ask you something, Mr. Nanthapong. Are you currently using SCB? I'm using it sometimes, but not always. Okay,"
132.8,192.6,"นะคะที่มีคนเข้าร่วมโครงการมากถึง 90% นะคะ ก็คือเดือนละ 3,375 บาทนะคะ 1 ปีนะคะเราเก็บมาเดือนละ 3,375 ครบปีเนี่ย เราจะมีเงินเก็บอยู่ที่ 40,000 บาท พี่ขอคิดเลขกลมๆ ก่อนนะ ถ้าน้องนันทพงศ์ค่ะ นำเงินตรงนี้ไปฝากที่แบงค์ พี่ขอเป็นออมทรัพย์นะ สิ้นปีออมทรัพย์เนี่ย มันจะอยู่ประมาณ 0.25% สิ้นปีหนูจะได้รับดอกเบี้ยแบงค์เพียงแค่ 100 บาท อันนี้พี่คิดให้มองเห็นภาพเลยนะ แต่ถ้าณัฐพงษ์อ่ะค่ะ นำเงิน 40,000 บาทมาเก็บออมไว้ในตัวโครงการ ซึ่งเป็นเงินเก็บเงินออมเหมือนๆ กันเนี่ยนะคะ สิ้นปีไทยพาณิชย์มอบไปเลยค่ะ เช็คการันตีเงินคืน ซึ่งเปรียบเสมือนดอกเบี้ยแบงค์ปีละ 4,000 บาทนะคะ เริ่มตั้งแต่ปีแรกก็ 4,000 บาท ปีที่ 2 เก็บออมเข้ามาอีกก็ 4 นะคะ เท่านั้นยังไม่พอค่ะเนาะ นันทพงศ์ ไทยพาณิชย์มีความห่วงใยคุณลูกค้าด้วย ก็เลยได้รับ","If 90% of people join the program, which is 3,375 baht per month, in 1 year, if we collect 3,375 baht per month, at the end of the year we will have saved 40,000 baht. Let me do some rough calculations first. If Nanthaphong deposits this money in the bank, let's say a savings account, at the end of the year the savings account will yield around 0.25% interest. At the end of the year, you will receive only 100 baht in bank interest. This is just to give you a perspective. But if Natthapong takes the 40,000 baht and saves it in the program, which is similar to saving money, at the end of the year, Siam Commercial Bank will give a guaranteed refund check, which is equivalent to the bank interest, of 4,000 baht per year. Starting from the first year, it's 4,000 baht"
192.7,252.5,"แล้วมื้อมาจากบริษัท FWD นะคะ ซึ่งเป็นบริษัทประกันภัยที่มาแรง แล้วเป็นบริษัทพาร์ทเนอร์ของไทยพาณิชย์ด้วยนะคะ เข้ามาดูแลทุนชีวิตในกรณีเสียชีวิตทุกกรณีเลย ตั้งแต่วันแรกที่เปิดการออมเข้ามาจนจบโครงการ ที่ทุนประกัน 480,000 บาทนะคะ ไม่ว่าจะเป็นการจากไปด้วยอุบัติเหตุนะคะ เรื่องของสุขภาพ โรคร้ายแรง การถูกฆาตกรรม รอบทำร้าย เราดูแลให้ทั้งหมดนะคะ ข้อยกเว้นที่เราไม่ดูแล มันไม่เกิดขึ้นอยู่แล้วค่ะ น้องตะพง ก็คือไม่ฆ่าตัวเองตายภายในปีแรก ไม่ถูกผู้รับผลประโยชน์ค่าตาย แค่นั้นเอง นอกนั้นเราดูแลให้ทั้งหมดเลยนะคะ ด้วยทุนประกัน 480,000 บาทนะคะ ทีนี้การออมค่ะ ไทยพาณิชย์บอกว่า น้องนันทพงศ์ไม่ต้องออมเยอะ ออมแค่ 14 ปีพอ เพราะว่าหลังจากนั้นน่ะ เราจะมีผลตอบแทนให้น้องเป็นเงินกินเปล่าเข้ากระเป๋า โดยที่น้องนางทำผมไม่ต้องทำอะไรเลยนะคะ แต่จะเป็น Double X2 หมายถึงว่า จะเคยได้รับ 4,000 บาท เนี่ย น้องณัฐพงษ์จะกลายเป็น 8,000 บาท","And this is from FWD company, which is a fast-growing insurance company and a partner company of SCB. They come in to take care of the life fund in case of death in all cases, from the first day of opening savings until the end of the project, with an insurance capital of 480,000 baht. Whether it's death by accident, health issues, serious illness, murder, or assault, we cover it all. The exceptions that we don't cover, they don't happen"
252.6,296.0,"อีก 10 ปีนะคะ จบโครงการนะคะ นั่นก็คงจะได้รับเช็ค 2 ใบ ใบแรกเป็นเช็คการันตีกันคือที่น้องได้รับมาทุกปีเนาะ 8,000 บาท เช็คใบที่ 2 เป็นเงินเก็บของน้องเองอยู่ที่ 480,000 บาท เพราะฉะนั้นผลประโยชน์ตลอดสัญญารวมจะอยู่ที่ 616,000 บาทนะคะ ที่นี้ที่ขอเสียมารยาทนิดนึง ปัจจุบันน้องณัฐพงษ์มีการยื่นลดหย่อนภาษีด้วยไหมคะ โอเค ถ้าให้อนาคตมีตัวโครงการทั้ง 14 ปีที่เราเก็บออมเนี่ย เราสามารถไปยื่นรถยนต์ภาษีได้ด้วย ที่นี้ในแต่ละเดือนน่ะค่ะเนาะ ถ้าพงษ์พี่จะขออนุญาตสอบถามนิดนึง ปัจจุบันน้องณัฐพงษ์อ่ะค่ะ มีการเก็บออมในแต่ละเดือนประมาณเดือนละเท่าไหร่คะ","In another 10 years, when the project is finished, you will receive 2 checks. The first check is the guaranteed check that you receive every year of 8,000 baht. The second check is your own savings of 480,000 baht. Therefore, the total benefit over the contract period will be 616,000 baht. Now, excuse me for being a bit rude, but currently does Nattapong claim tax deductions? Okay, if in the future, with the 14-year project that we are saving, we can also go and file for car tax deductions. Now, each month, if I may ask a little bit, currently how much does Nattapong save each month approximately?"
297.9,302.1,มันก็แล้วแต่ค่าใช้จ่ายแต่ละเดือนนะพี่ เพราะว่าบางครั้งก็,"It depends on the expenses each month, because sometimes"
302.9,355.4,"4000 5000 บ้าง 3,000 ล่าง แล้วแต่ โอเค เพราะฉะนั้นก็คือ ไม่แน่นอน แต่ก็มีการเก็บออม ถูกไหม มันก็เป็นเรื่องที่ดี ถูกไหมคะ ทีนี้พี่อยากเรียนแจ้งมาตั้งแต่พรุ่งนี้ การเก็บออม ไปเลือกที่ดีอยู่แล้ว แต่เราจะเก็บไง ให้ได้ผลประโยชน์ พี่ไม่ต้องการให้น้องเอามาเก็บไว้ในตัวโครงการนี้ทั้งหมด ก็ได้ลองดูตัวผลประโยชน์ดูก่อน สมมุติ 3/375 บาท ถ้าน้องพอไหวนะคะ ตรงนี้พี่อยากแนะนำ เพราะว่า ทุนประกันเนี่ย มันก็จะอยู่ที่ 480,000 บาท แต่อันนี้พี่ไม่ได้อยากให้น้องต้องเป็นอะไรนะ พี่เห็นทุนมันเยอะนะคะ ทีนี้ถ้าผลตอบแทนในทุกๆปีเนี่ย ตั้งแต่ปีแรกถึงปีที่ 14 มันก็ปีละ 4,000 บาท ถูกมั้ยคะ ปีที่เราหยุดเก็บหยุดออมเนี่ย ปีละ 8,000 บาท อีก 10 ปี เพราะฉะนั้น ตัวผลประโยชน์ ตรงเนี้ยมันจะเยอะ ทีนี้พี่สอบถามอีกนิดนึง ปัจจุบันเนาะนันทพงศ์ค่ะ มีการเปิดใช้บัตรเครดิตด้วยมั้ย","4000 5000 sometimes 3,000 below, it's okay, so it's uncertain but there is savings, right? It's a good thing, right? Now, I want to inform you that from tomorrow onwards, savings, go choose a good place, but how do we save to get benefits? I don't want you to keep it all in this project, try looking at the benefits first. Suppose 3/375 baht, if you can afford it. Here, I want to recommend because the insurance fund, it will be at 480"
356.5,416.2,"ไม่ๆ พี่ไม่เคยใช้บัตรเครดิตอะไรทั้งนั้น โอเค เพราะว่าที่พี่ถามเนี่ย ไม่ได้มีเจตนาไม่ดีอะไรอย่างนั้นนะ พี่หมายถึงว่า ถ้าหนูมีการเปิดใช้บัตรเครดิตเนี่ย เราสามารถออมหักบัตรเครดิตได้ด้วยถูกไหมคะ เพราะฉะนั้นหนูจะจ่ายตามรอบบิลยังไงก็ได้ใช่ไหมคะ ขั้นต่ำหรืออะไรก็แล้วแต่ แล้วแต่ความสะดวกของน้องณัฐพงษ์เลย แต่ยังไงวันนี้พี่อยากเรียนเชิญนะคะ เก็บออมยอดแรกยอดเดียวนะคะ แล้วก็ไม่เกิน 10 วันทำการนะคะ พี่เสาวนีย์ไม่ได้มาเรียนเชิญปากเปล่านะ ไม่เกิน 10 วันทำการเนี่ย พี่เสาวนีย์จัดส่งเอกสารในการเก็บออมรูปเล่มกรมธรรม์ ที่มีผลใช้ตามกฎหมายนะ ให้น้องตรวจสอบตัวผลประโยชน์จากคนในครอบครัวดูก่อนนะคะ ถ้าผลประโยชน์โดนใจ พี่เสาวนีย์ดูแลต่อจนจบโครงการ แต่ถ้าน้องเห็นว่าตัวเนี้ยมันไม่โอเค เออ ผลประโยชน์มันน้อยหรืออะไรเนาะ สามารถใช้สิทธิ์ตามกฎหมายได้เลย ยุติตัวโครงการ แล้วรับเงิน 3,375 บาทกลับไปเต็มจำนวน โดยไม่หักค่าใช้จ่ายนะคะ ทีนี้ตัววันเนี้ยยอด","No, I have never used any credit cards, okay. Because what I asked, I didn't have any bad intentions like that. What I meant was, if you open a credit card, we can also save by deducting from the credit card, right? So you can pay however you want according to the billing cycle, right?"
416.5,428.2,"แรกยอดเดียวที่ 3,375 บาทนะคะ ก็เก็บออมไว้ได้ด้วยกันนะคะ ปัจจุบันน้องบอกอยู่ที่ภูเก็ตเหรอ แล้วบ้านเลขที่ตั้งอ่ะค่ะ ตามหน้าระบบอ่ะค่ะ น้องยืนยันไฟล์เสียงในคลิปนิดนึง","The first amount is 3,375 baht, you can save that together. Currently, you said you are in Phuket, right? And what is your house number? According to the system. Please confirm the audio file in the clip for a bit."
430.7,440.0,ที่ผมอยู่นั้นใช่ไหม รับเอกสารกรมธรรม์สำคัญเนี่ยค่ะ แล้วก็เป็นเอกสารเช็คด้วย บ้านเลขที่เท่าไหร่คะ,"Is that where I live? Receive important insurance documents, okay? And it's also a check document. What is the house number?"
