Start time,End time,thai_transcript,translation
12.6,13.3,จะบอกให้พี่หน่อย,I will tell you.
14.3,26.2,สวัสดีค่ะ เดินสายคนวิภาวีค่ะ อันนี้เปียกเลยค่ะ จากไทยพาณิชย์สำนักงานใหญ่นะคะ ลูกค้าคะ,"Hello, this is Wiphawee calling. It's completely soaked. From the head office of Siam Commercial Bank. To the customer."
26.6,65.7,ที่คุณลูกค้าได้ทำตัวเงินออมมาหากับ fwd ของไทยพาณิชย์เอาไว้เมื่อเดือนกันยายนปีที่ผ่านมาจำได้อยู่นะคะค่ะตอนแรกขออนุญาตมาอัพเดทข้อมูลค่ะเพื่อที่ลูกค้าไม่พลาดโอกาสในการรับสิทธิ์แล้วก็ประโยชน์ดีๆไปที่ขออนุญาตอัพเดทคู่เดียวนะคะค่ะขอบคุณค่ะก่อนอื่นเดี๋ยวนะครับเลขที่ไม่อนุญาตเจ้าหน้าที่ 650 300 2730 ค่ะระหว่างสนทนาขออนุญาตบันทึกเสียงเพื่อคุ้มครองสิทธิ์ของลูกค้าตามระเบียบปฏิบัติของสำนักงานคปภนะครับค่ะลูกค้าได้โหลดตัว Application นะคะตัวออมเน่ by fwd อันนี้มาเรียบร้อยแล้วใช่มั้ย,"The savings money that you, the customer, have made with FWD of Siam Commercial Bank since last September, I remember that. First of all, let me update the information so that the customer does not miss the opportunity to receive good rights and benefits. Let me update the pair only. Thank you. First of all, wait a moment. The number is not allowed. Officer 650 300 2730. During the conversation, may I record the audio to protect the customer's rights in accordance with the regulations of the OIC office? Has the customer downloaded the application, the Aomnet by FWD, completely yet?"
68.4,68.9,ฮัลโหล ค่ะ,Hello
70.7,73.5,อ๋อ ฮัลโหล ค่ะ ฮัลโหล ค่ะ,"Oh, hello! Hello!"
74.0,81.1,ลูกค้าสามารถเปลี่ยนแปลงข้อมูลอะไรต่างๆ นะคะลูกค้า ผ่านตัว Application ตัว AMD ตรงนี้ได้นะคะ ลูกค้าคะ,"Customers can change any information through the AMD application here, customers."
81.8,129.2,"ค่ะ แล้วก็อีกเรื่องนึง ลูกค้าจำได้ใช่ไหมว่าตัวที่ลูกค้าได้ทำตัวเงินออมกับปิยกรณ์เอาไว้อ่ะค่ะ อันนี้คุ้มครองอะไรบ้างจำได้อยู่เนาะ ถ้าถ้าไม่ได้เดี๋ยวปีก่อนคอนเฟิร์มนะคะ โอเค เดี๋ยวไปก่อน ขออนุญาตอัพเดทให้อีกรอบนึงนะคะ ค่ะ ก็คือที่ลูกค้าจะทำเอาไว้อ่ะค่ะ ก็คือลูกค้าออมเดือนละ 1,215 บาทนะคะ ทุกปีลูกค้าจะได้เป็นตัวเงินคืนปีละ 1,500 บาท ทั้งหมด 19 ปีนะคะ พอปีที่ 20 แล้วก็พอตรงนี้จะมีประกันชีวิตคุ้มครองให้ลูกค้าด้วยที่ทุนประกัน 150,000 บาท เป็นประกันชีวิตดูแลตรงนี้ให้กับลูกค้าด้วยนะคะ แล้วก็อ่า ลูกค้าออมผ่านตัวบัตรเครดิตเอาไว้นะคะ 1,215 บาท","Yes, and another thing, do you remember the savings plan you made with Piyakorn? What does this plan cover, do you still remember? If not, let me confirm it again for you, okay? Let me update you one more time. So, the plan you made is that you save 1,215 baht per month. Every year, you will get a cash back of 1,500 baht for a total of 19 years. Then in the 20th year, there will also be a life insurance coverage for you with a sum insured of 150,000 baht. It's a life insurance that takes care of this for you as well. And you save through the credit card, 1,215 baht."
129.5,189.2,"แล้วก็อีกเรื่องนึงเรื่องสุดท้ายค่ะคุณลูกค้าคะ เรื่องสุดท้ายนะ เมื่อช่วงต้นปีที่ผ่านมา ทางสำนักงานใหญ่เขาได้ทำการจัดส่งตัวจดหมายนะคะ แจ้งให้กับลูกค้าเดิมของเราที่บ้านเลขที่ 100/106 หมู่บ้านมณียา 2 ลูกค้าจะอยู่ที่เดิมไหมคะ อยู่ที่เดิมนะคะ โอเค ก็คือตัวที่เราแจ้งไปอ่ะค่ะลูกค้าคะ มันจะเป็นต้องบอกว่าอย่างนี้นะอ่า เนื่องจากต้นปีอย่างที่เรียนแจ้งไว้ว่า เขาได้ผลประกอบการค่อนข้างสูง เขาก็เลยจัดแคมเปญคืนกำไรตรงนี้ให้นะคะ มันจะเป็นตัวออมเหมือนกันนะคะ เดือนละ 1,215 บาท เหมือนกันเลย แต่ว่าทุนประกันตัวนี้ให้ 300,000 บาทค่ะลูกค้านะคะ ให้ 300,000 บาท ตัวเดิมมันจะเป็นแสนห้าใช่ไหมคะ ตัวเนี้ยให้ 3 แสน และที่สำคัญเลย เขามาคุ้มครองโรคร้ายแรงให้ด้วย หมายความว่า ถ้าลูกค้านะคะไปหาหมอไปตรวจสุขภาพ หรือไปเช็คร่างกาย ใช่ไหมคะ และตรวจพบตรวจเจอ 15 โรคร้ายแรงที่เราคุ้มครองให้ค่ะ","And one last thing, dear customer. At the beginning of this year, the head office sent out letters to our existing customers at house number 100/106, Maneya Village 2. Will the customer still be at the same address? Yes, at the same place. Okay, so the letter we sent out, ma'am, we have to tell you this. As informed at the beginning of the year, they had quite high operating results. So they set up a profit sharing campaign here for you. It will be a savings plan as well, 1,215 baht per"
189.5,225.3,"คุณวิภาวีจะได้เงินเป็นค่าตกใจเป็นค่าปลอบขวัญไปเลย 300,000 บาท ใช้จ่ายส่วนตัวอะไรก็ได้ เราให้เป็นเงินก้อน แต่ถ้าไม่เจอ ถ้าไม่เจอนะครบสัญญานะคะ ลูกค้าได้เงินคืนกลับไป 3 แสนเหมือนเดิม เป็นเงินเก็บของเรา 1,215 บาท แต่ถ้าเป็นที่อื่นนะจะเป็นเงินทิ้งทั้งหมด เขาคุ้มครองให้แค่อันนี้ ได้บอกว่าที่นี่ที่เป็นเบาหวานนะคะ สงสัยจะทำไม่ได้หรือเปล่า เดี๋ยวสอบถามเรื่องนะคุณพี่นะ อ่า เจ้าหน้าที่เป็นเบาหวานเท่านั้น ที่พี่เป็นมาประมาณกี่ปีแล้ว เดี๋ยวสอบถามนิดนึงนะ","Miss Wipawee, you will get 300,000 baht as a surprise gift. You can spend it on anything personal. We give it as a lump sum. But if we can't find it, if we can't find it, the contract will be fulfilled. The customer will get 300,000 baht back as before. It's our savings of 1,215 baht. But if it's somewhere else, it will all be wasted money. They only protect this. They said that here, for diabetes, I'm not sure if it can be done or not. Let me ask about it, Mr. brother. Oh, only the diabetes staff. How many years have you had it, brother? Let me ask a little bit."
226.0,231.0,10 ปี อ่ะค่ะ ก็คือ ลูกค้าแค่นัดพบประมาณกี่เดือนครั้งคะ,"For 10 years, how often do customers make appointments, like every few months?"
232.3,244.5,ประมาณ 6 เดือนค่ะ แล้วก็ลูกค้าเคยนอนโรงพยาบาลจากโรคเบาหวานไหมคะ ไม่เคยค่ะ ไม่เคยนะ ลูกค้าเราอาจเท่านั้น รักษาแต่ที่โรงพยาบาลอะไรคะ,"About 6 months. Has the customer ever been hospitalized for diabetes? Never, never. Our customer may only be treated at what hospital?"
245.6,246.8,เออ,Yeah
248.0,270.1,ก่อนหน้าโควิดพี่รักษาที่พญาไท 2 ค่ะ พอเป็นโควิด ที่มาตรวจเลือดเจาะที่อบอุ่นคลีนิคแถวบ้านนะคะ อ๋อโอเค ค่ะ แต่ว่าตัวนี้ล่ะค่ะ อ่า ตัวเบาหวานของคนที่เนี่ยค่า ก็คือ รับประทานยา ก็คือ วันนึง ที่มา เป็นๆหลังอาหารเช้า ถูกต้องไหมคะพี่,"Before COVID, I was treated at Phyathai 2 Hospital. When I got COVID, I came to have a blood test at Abaun Clinic near my home. Oh, okay. But for this one, the diabetes of this person, it means taking medicine, which is once a day, after breakfast, right?"
270.5,286.2,มีอาหารเช้าแล้วก็อาหารเย็นค่ะ โอเคประมาณวันละ 2 เม็ดนะคะ ก็คือเอาง่ายๆค่ะ ที่ลูกค้าตรวจอ่ะ ตัวเบาหวานอ่ะ ก็คือจะไม่เกิน ปกติ 130 ประมาณนี้ถูกไหม ใช่ไหมคะ,"There is breakfast and dinner. Okay, about 2 tablets per day. To put it simply, the customer's diabetes test results will not exceed the normal 130, is that right?"
286.7,305.6,ไม่เกินค่ะ ไม่เกิน ไม่เกินนะ โอเค ก็ตอนนี้ลูกค้าให้หนูระบุสักประมาณเป็น 120 ตรงนี้ได้เนาะ 120 ไม่เกิน 130 ประมาณนี้นะคะ ที่ลูกค้าจำได้ว่าพี่เช็คล่าสุดเป็น 116 อ่ะค่ะ อ๋อ เช็คล่าสุดวันละ 16 ใช่ไหมคะ โอเค ถ้ายังไง เดี๋ยวไปก่อน ขออนุญาตระบบเป็น 116 นะ,"It's not over. It's not over. It's not over, okay? So now the customer lets me specify around 120 here, 120 not exceeding 130, around this. What the customer remembers is that you last checked it was 116. Oh, you last checked on the 16th, right? Okay, if anything, let me go first. Excuse me, the system is 116."
306.0,365.7,"นะคะ โอเคแล้ว ก็ตรงนี้แหละค่ะ ลูกค้าอย่างที่พยากรณ์สอบถามลูกค้า นะ อันนี้เป็นคอลเลนเจอร์ก่อนว่าถ้าเป็นที่บริษัทอื่นเป็นประกันทั่วไปนะ บริษัทอื่นประกันทั่วไปนะคะ เขาจะไม่สามารถดูแลให้กับลูกค้าได้ถูกต้องไหม ถ้าเป็นตัวเบาหวานนะคะ แต่ของเราอย่างที่ไปก่อน แจ้งตั้งแต่แรกแล้วค่ะว่าเป็นตัวคืนกำไรดูแลให้กับลูกค้าพิเศษที่เราส่งจดหมายเรียนแจ้งไปให้ นั่นหมายความว่าคุณพี่วิภาวีได้รับสิทธิ์ในการดูแลตรงนี้ให้ด้วยค่ะ เราให้พี่เขารับโครงการตอนนี้ดูแลเพิ่มเติมได้ค่ะ คุณพี่สามารถทำได้ใช่ อันนี้คือข้อดีนะ ต้องบอกว่าข้อดีของเราที่เดียวในประเทศไทยค่ะ ลูกค้าที่ให้สิทธิ์ในการดูแลลูกค้าเท่านั้น เฉพาะลูกค้าของไทยพาณิชย์ที่เดียวค่ะ ถ้าเป็นที่อื่นมานะฮะ มาขอทำอย่างเงี้ย เราไม่รับ เพราะว่าถ้าเราไปตั้งที่ศูนย์ตามโรงพยาบาลส่วนตัว ไหมคะ อันนี้ก็ทำรถลูกค้าเยอะแน่นอน แต่ว่าเราไม่รับทุกลูกค้าทั่วไป จะดูแลให้เฉพาะลูกค้าของเรานะคะ นั่นหมายความว่าพี่ได้รับสิทธิ์ตรงเนี้ย 1,215 บาทที่หนูดูแล",
366.0,370.6,ให้ตัวนี้ค่ะพี่ ออมผ่านบัตรเครดิตนะ เหมือนเดิม ตัวเดิมที่คุณพี่ทำกับหนูเอาไปได้นะ,"Please use this one. Transfer via credit card as usual, the same one that you did with me before. You can take it."
371.0,430.8,"นะคะ เดี๋ยวก็จะมี ตอนนี้พี่ไม่ได้ใช้บัตรเครดิตแล้ว แต่ว่ากรมธรรม์เดิมที่เป็นจ่ายเข้าแอป Easy SCB easy อ่ะค่ะ และดีเลยพี่มีตัวอัพเดทตัวแอปมาเรียบร้อยแล้วใช่ไหม ใช่ไหมคะ โอเค ตัวนี้เหมือนเดิมค่ะ ถ้าพี่ไม่ได้ใช้บัตรเครดิตนะ ตัวนี้ 1,200 บาท หนูก็จะออมผ่าน SCB easy ของคุณพี่นะคะ เหมือนเดิมนะ แล้วพี่จะเห็นเงินของเราทั้งสองเล่มเลย ก็คือตัวเดิมที่ 1,250 เหมือนกันใช่ไหมคะ ตัวนี้ 1,250 เหมือนกัน พี่จะเห็นเงินของเราทั้ง 2 เล่มนะคะ มันจะมาอยู่ใน FWD ก็คือตัวออมเน่ by FWD พี่จะเห็นว่าเงินไม่ได้ไปไหนทั้ง 2 เล่มใช่ พี่สามารถดูได้นะคะ ก็ตรงนี้เดี๋ยวเบื้องต้นนะพี่วิภาวีนะคะ เดี๋ยวก่อนจะขออนุญาตทวนข้อมูลพี่นิดนึงว่าข้อมูลที่พี่แจ้งไว้อ่ะค่ะ อันนี้ถูกต้องตรงกับข้อมูลเดิมหรือเปล่านะคะ คุณพี่คะ ค่ะ โอเค พี่วิภาวี นามสกุลน่ะค่ะ อาจอ่าถ้า","Yes, in a moment there will be. Currently, you are not using a credit card anymore. But the original insurance policy that is paid into the Easy SCB easy app, right? And it's good that you have the updated version of the app ready, right? Yes, that's right. Okay, this one is the same. If you don't use a credit card, this one is 1,200 baht. I will save it through your SCB easy, as before, right? Then you will see both of our money. It's the same one as before, 1,250, right? This one is also 1,250. You will see both of our money. It will be in"
431.0,459.9,หนูอ่านผิดต้องขอประทานโทษนะ อาจจะอ่านยังไม่ถูกต้องมั้ยคะ อ่าค่ะ โอเค คุณพี่ ตอนนี้คุณพี่เป็นนางสาวหรือเป็นนางแบบนี้เป็นตำแหน่งอะไรเพิ่มเติมไหม เป็นนางสาว สะกดเป็น ว อ แหวน สระอิ ค่ะ พอสำเภาสารภาพว่าแหวนสระอิแล้วก็รอเรือกระดาน ถูกต้องไหมคะ ถูกต้องค่ะ นามสกุลคุณพี่จะเป็น อ่าง ค่ะ รอ เรือ 2 ตัว ถุง ยอ ยักษ์ สรุปเป็น ก ไก่ นะคะ ต เต่า สระอิ ถูกต้องไหมคะ,"I read it wrong, I have to apologize. Did I read it correctly? Yes, okay. Are you Miss or Ms. now? Is there any additional position? It's Miss, spelled Wor, Or, ring, sara i (vowel). When the junk confesses that the ring is sara i and waiting for the plank boat, is that correct? Yes, that's right. Is your last name Ang? Waiting for 2 boats, a bag, a giant Yo. In summary, it's Kor Kai, right? Tor Tao, sara i, is that correct?"
460.8,473.4,ถูกต้องค่ะ แล้วเดือนปีเกิด ที่เกิดวันที่ 12 ธันวาคม 1973 วันที่ 2 ประทานโทษ ประทานโทษ วันที่ 2 ธันวาคม 1973 อายุ 50 ปี 4 เดือน แล้วก็ 9 วัน ถูกต้องไหมคะ,"That's correct. The birth month and year, born on December 12, 1973. On the 2nd, sorry, sorry, on December 2, 1973, 50 years, 4 months and 9 days old, is that right?"
475.8,495.2,ถูกต้องค่ะ เพราะระบบมันจะป๊อปอัพเป็น 50 อ่า อายุ 50 ปี 4 เดือน 9 วันนะคะ แล้วก็ตรงนี้แหละค่ะพี่วิภาวี นะคะ ที่อยู่นะ หนูขออนุญาตระบุที่อยู่ปัจจุบันของคนที่นะคะ จะเป็น 100/106 คุณพี่อยู่ที่เดิมถูกต้องไหมคะ,"That's correct. Because the system will pop up as 50, umm, 50 years, 4 months, 9 days old, right? And right here, Phee Wipawee, for the address, may I specify the current address of the person, which will be 100/106. You still live at the same address, right?"
496.1,509.3,ถูกต้องค่ะ อาจจะเป็นขาหมูบ้านมะลิยา 2 ซอย 1/1 ถูกต้องไหมคะคุณพี่คะ ถูกต้องค่ะ จะเป็นนะคะ ซอยนะคะ ซอยท่าอิฐนะคะ ถนนรัตนาธิเบศร์นะคะ คุณพี่คะ,"That's correct. It might be Moo Baan Maliya 2, Soi 1/1, right? Yes, that's correct. It will be, you know, the soi, Soi Tha It, on Rattanathibet Road."
