Start time,End time,thai_transcript,translation
6.1,12.0,ฮัลโหล ครับ สวัสดีน้องณัฐพงษ์ อันนี้หนูทำถึงขั้นตอนไหนแล้ว เดี๋ยวพี่พาทำการจ่ายบิลเลย,Hello. Hi Nattapong. How far have you gotten with this? Let me take you through the billing process.
12.8,31.6,อ๋อ ผมโอนเรียบร้อยแล้วพี่ รอผมตรงสลิปเข้าไปใน LINE ให้พี่ มันจะขึ้นไปยังไก่ SW ประกันชีวิตนะ ถูกต้องๆ 25 บาทต่อไป หนูหนูส่งสลิปมารอเน็ตใช่ไหม,"Oh, I have already transferred the money. Please wait for me to send the slip on LINE. It will go to the SW life insurance chicken, right? Correct, 25 baht. Next, I will send the slip and wait for the internet, okay?"
32.7,33.1,ครับผม,Yes
37.4,40.5,โอเค เดี๋ยวพี่รอ เดี๋ยวพี่พาไปผูกบัญชีด้วย,"Okay, wait a moment, I'll take you to link the account."
46.2,48.3,เดี๋ยว โอเค,"Just a moment, okay"
59.6,63.8,ไม่ต้องเดินทางช่วงคนเยอะๆ นะ เดี๋ยวพรุ่งนี้พี่เดินทางคนเยอะอ่ะ,"Don't travel during crowded times, okay? Tomorrow I will be traveling when it's crowded."
69.3,84.0,เดี๋ยวพี่โอเค ต่อไปเป็นขั้นตอนผูกบัญชี หนูกลับไปหน้าธุรกรรมของฉัน อยู่แถวล่างๆ มันจะขึ้นว่า สมัครหักบัญชีอัตโนมัติ,"In a moment, it will be okay. The next step is to link the account. Go back to my transaction page, it's at the bottom. It will say register for automatic account deduction."
85.4,90.5,ของ SCB นี้ใช่ไหม มันจะมีหักบัญชีอัตโนมัติ,"For this SCB, is it correct that it will have automatic account deduction?"
92.2,95.7,ให้กดเอาตรงไหนก่อน กดหน้าธุรกรรมของฉัน,Where do I press first? Press on my transactions page.
98.7,108.9,ของฉันอ่อนครับ ผมชื่อณัฐพงษ์ มันจะขึ้นว่า สมัครบริการหักบัญชีอัตโนมัติ,I'm weak. My name is Nattapong. It will show that I have enrolled in an automatic debit service.
116.7,171.0,ที่เป็นโลโก้สีม่วงถูกไหม ใช่ๆ อ่า โอเค โอเคนะคะ ตรงนี้ เดี๋ยวพี่บอกเลขที่กรมทัณฑ์ให้หนูนะ เดี๋ยวรอพี่ เสาวรีย์ 76 นะ เดี๋ยวนะ,"The purple logo is correct, right? Yes, oh okay, okay. Here, I'll give you the prison number in a moment. Wait for me, Monument 76, wait a moment."
173.1,180.3,เราจะใส่เลขเดียวกัน,We will enter the same number.
187.4,188.1,เดี๋ยวนะ,Wait a minute
189.4,193.7,327 จ้ะ 327 072,327 yes 327 072
223.9,252.5,ตรวจสอบข้อมูลแล้วใช่ไหม แล้วก็กดยืนยัน กดยืนยันใช่ไหม แล้วก็มันจะมีเลขมือถืออ่ะ มันจะมีช่องกลมๆ น้องจิ้มเข้าไปใช่มั้ย ใช่แล้ว แล้วจะรอรับรหัสจากแบงค์ opp เนาะ ใส่เลยเนาะ ไม่ต้องบอกพี่นะ น้องกรอกได้เลย,"Did you check the information and confirm it? After pressing confirm, there will be a mobile number. There will be a round box, you tap on it, right? That's right. Then wait to receive the code from the bank, okay? Enter it right away, no need to tell me, you can fill it in."
252.9,260.5,พอกดใส่แล้ว มันจะขึ้นเป็นสลิปสำเร็จการผูกบัญชี,"After pressing, it will show up as a slip for successful account linking."
261.4,262.9,ไหม,Silk
265.8,267.5,มันยังไม่มีข้อความใหม่เลย,
