Start time,End time,Transcript,English Translation
6.100,12.000,ฮัลโหลครับสวัสดีน้องณัฐพงษ์อันนี้หนูทำถึงขั้นตอนไหนแล้วเดี๋ยวพี่พาทำการจ่ายบิลเลย,"Hello, hello Nong Natthaphong. Now, what steps have you taken? I'll take you to pay the bill."
12.800,31.600,อ๋อผมโอนเรียบร้อยแล้วพี่รอผมตรงสลิปเข้าไปใน LINE ให้พี่มันจะขึ้นไปยังไก่ sw ประกันชีวิตนะถูกต้องถูกต้อง 25 บาทต่อไปหนูหนูส่งสลิปมารอเน็ตใช่ไหม,"Oh, I've already made the transfer. You're waiting for me to direct the slip into LINE for you. It will go up to Kai SW Life Insurance. That's correct. 25 baht. Next, I sent the slip and waited for the internet, right?"
32.700,33.100,ครับผม,yes
37.400,40.500,โอเคเดี๋ยวพี่รอเดี๋ยวพี่พาไปผูกบัญชีด้วย,"Okay, I'll wait. I'll take you to connect your account with me."
46.200,48.300,เดี๋ยวโอเค,It'll be okay.
59.600,63.800,ไม่ต้องเดินทางช่วงคนเยอะๆเนาะเดี๋ยวพรุ่งนี้พี่เดินทางคนเยอะอ่ะ,You don't have to travel during a crowded time. Tomorrow there will be a lot of people.
69.300,84.000,เดี๋ยวพี่โอเคต่อไปเป็นขั้นตอนผูกบัญชีหนูกลับไปหน้าธุรกรรมของฉันอยู่แถวล่างๆมันจะขึ้นว่าสมัครหัดบัญชีอัตโนมัติ,I'll be OK. The next step is to link your account. Go back to the My Transactions page in the bottom row and it will say Automatically apply for account training.
85.400,90.500,ของ SCB นี้ใช่ไหมมันจะมีหักบัญชีอัตโนมัติ,Is this SCB's thing? There will be an automatic debit from your account.
92.200,95.700,ให้กดเอาตรงไหนก่อนกดหน้าธุรกรรมของฉัน,Where should I press it before pressing the My Transactions page?
98.700,108.900,ของฉันอ๋อครับผมณัฐพงษ์มันจะขึ้นว่าสมัครบริการหักบัญชีอัตโนมัติ,"Oh, mine is Natthaphong. It will say that you applied for automatic debit service."
116.700,171.000,ที่เป็นโลโก้สีม่วงถูกไหมใช่ๆอ่าโอเคโอเคนะคะตรงเดี๋ยวพี่บอกเลขที่กรมทัณฑ์ให้หนูนะเดี๋ยวรอพี่เสาวรีย์ 76 นะเดี๋ยวนะ,"Is that the purple logo? Is that right? Oh, okay, okay. I'll tell you the number from the Department of Corrections. I'll wait for P'Saowaree 76. Wait a minute."
173.100,180.300,เราจะใส่เลขเดียวกัน,We will enter the same number.
187.400,188.100,เดี๋ยวนะ,Wait a minute.
189.400,193.700, 327 จ้ะ 327 072,327 yes 327 072
223.900,252.500, ตรวจสอบข้อมูลแล้วใช่ไหมแล้วก็กดยืนยันกดยืนยันใช่ไหมแล้วก็มันจะมีเลขมือถืออ่ะมันจะมีช่องกลมๆน้องจิ้มเข้าไปใช่มั้ยใช่แล้วแล้วจะรอรับรหัสจากแบงค์ opp เนาะใส่เลยเนาะไม่ต้องบอกพี่นะน้องกรอกได้เลย,"Have you checked the information? Then press confirm, press confirm, right? Then there will be a mobile phone number. There will be a round box for you to click in, right? That's right. Then you will wait to receive a code from the opp bank. Just enter it, no. You have to tell your brothers and sisters to fill out the form."
252.900,260.500,พอกดใส่แล้วอ่ะมันจะขึ้นเป็นสลิปสำเร็จอ่ะการผูกบัญชี,"Once you press enter, it will appear as a successful account binding slip."
261.400,262.900,ไหม,silk
265.800,267.500,มันยังไม่มีข้อความใหม่เลย,There aren't any new messages yet.
268.600,273.600,เด้งมาให้น้องช้า,Bounce for little sister slowly.
274.500,278.700,ใช่ๆอันนี้แบบต้องรอนิดนึงเดี๋ยวพี่รอไปกับหนูด้วย,"Yes, this one requires you to wait a bit. I'll wait with you too."
