Start time,End time,Transcript,English Translation
4.800,9.300,ฮัลโหลค่ะค่ะขอโทษทีนะคะแป๊บนึงนะคะได้ค่ะ,"Hello, please excuse me for a moment."
16.800,21.200,ศุภาลัยสุขุมวิท 117 ถนนสุขุมวิท 117 ค่ะ,"Supalai Sukhumvit 117, Sukhumvit Road 117."
22.200,23.400,ตำบลเทพารักษ์,Theparak Subdistrict
24.500,27.200,ค่ะอำเภอเมืองสมุทรปราการ,"Yes, Mueang Samut Prakan District."
28.200,28.600,ค่ะ,yes
29.400,35.200,จังหวัดสมุทรปราการค่ะ 10270 ค่ะ,Samut Prakan Province 10270
40.900,100.000,"แต่ถ้าในส่วนของเรทที่คุณพี่เมลดาเลือกตัวนี้จะเป็นเดือนละเท่าไหร่นะคะ 8,000 บาทถูกต้องไหมคะเออเดี๋ยวนะคะเราขอถามอีกอย่างแล้วถ้าสมมุติว่าในช่วงที่เราฝากประจำแล้วถ้าสมมุติว่าเดือนถ้าสมมุติเราตัดสินใจจะไม่ฝากต่อคือเราจะต้องเสียหรือว่าโดนหักค่าอะไรบ้างขายยังไงในส่วนของเขาเรียกว่าขออนุญาตชี้แจงแบบมีเงาว่าในส่วนของผลประโยชน์อ่ะค่ะเราจ่ายให้ปีต่อปีอยู่แล้วอย่างถ้าสมมุติว่าได้อย่างสมมุติครบ 2 ปีเนาะเราไม่อยากฝากต่อยังไงเงินที่เราเก็บออมเข้ามาเราก็ได้รับคืนไปอยู่แล้วค่ะไม่เกี่ยวกันค่ะแต่ว่าในวันนี้มันเป็นยังไม่ครบ 2 ปีค่ะสมมุติว่าเราฝากประจำเราฝากทุกเดือนแต่ว่าฝากไปใช้สักปีนึงแล้วเราจะหยุดเงี้ยค่ะตอนนี้สามารถหยุดได้ค่ะคุณพี่คะแต่หยุดถามว่าหยุดในกรณีใหม่มากกว่าหยุดในส่วนของเขาเรียกว่าแม่ออมต่อหรือว่าในส่วนของเขาเรียกว่าในส่วนของหยุดก่อนแล้วค่อยกลับมาต่อทีหลังตรงนี้ก็ได้คือหมายถึงว่า","But if in terms of the rate that Ms. Melda chooses, how much will this be per month? Is 8,000 baht correct? Oh, wait a minute. We'd like to ask another question. If we assume that during the period that we have a fixed deposit, then suppose that Months, if we decide not to continue with the deposit, that is, what fees will we have to pay or be deducted? How will the sale be done? On his part, it's called asking for permission to clarify in a shadowy way that in terms of benefits, we pay for the year. per year already. For example, if we assume that we can get it for 2 years, we don't want to continue depositing it. The money that we have saved, we have already received back. It's not related, but today it is not yet complete. 2 years, let's say we have a fixed deposit, we deposit every month, but let it be used for a year and then we will stop. Right now, we can stop, sir, but stop and ask if stopping in a new case is more than stopping in his part, it's called Mom continued to save, or for his part it could be called the part of stopping first and then coming back to continue later. This means that"
100.800,160.700,"เพื่อถูกต้องค่ะไม่มีการหักอะไรแต่ว่าเราจะไม่ได้ไอ้ค่าดอกเบี้ยในส่วนของเงินการันตี 10,000 บาทนะคะเราจะจ่ายเขาเรียกว่าจ่ายให้ตั้งแต่ปีแรกอยู่แล้วเนาะค่ะตอนนี้ไม่เกี่ยวกันถ้าเกิดคือมันอย่างต่ำมันต้อง 2 ปีถูกไหมคะก็คือจะได้ปีตั้งแต่ปีแรกเลยสมมุติว่าเราฝากไปปีแรกครบหมดแล้วเราได้ 10,000 บาทแล้วแล้วพอปีที่ 2 เราฝากไปได้แค่ 1 เดือนแล้วเราจะไม่ฝากต่อมันจะเสียอะไรบ้างอ๋อถ้าตัวนี้ค่ะในของการเก็บออมค่ะต้องขออนุญาตชี้แจงแบบนี้ค่ะพี่ในระดับค่ะว่าการเก็บออมค่ะขออนุญาตให้อยู่ที่ 2 ปีในส่วนของการจะอยู่ตัวโครงการนะคะแต่ในระหว่างนี้คือเงินที่เก็บออมไว้อ่ะค่ะถ้าหากเดือนไหนเราไม่สามารถเก็บออมเข้ามาได้ก็ไม่ต้องกังวลเงินมันไม่ได้หายไปไหนแต่ใน 2 การแจ้งจบตัวโครงการต้องขออนุญาตอยู่ที่ 2 ปีค่ะเพราะตอนนี้เราอยากให้ลูกค้าได้รับในส่งผลประโยชน์ได้อย่างน้อย 2 ปีก่อนสำหรับตัวโครงการแล้วถ้าสมมุติว่าก็คืออย่างที่บอกว่าถ้าสมมุติปีที่ 2 เราส่งแค่เราจ่ายแค่เดือนแรกเรา","To be correct, there is no deduction, but we will not get the interest on the guaranteed money of 10,000 baht. We will pay it from the first year already. Right now it is not relevant. If it happens, It has to be at least 2 years. Is that right? That is, you will get the year from the first year. So let's say we deposited all the money in the first year and we already got 10,000 baht. Then in the second year we deposited only 1 month and we won't get it. Please continue, what will it cost? Oh, if this one is for savings, I need permission to clarify like this. At the level of savings, I would like permission to stay for 2 years in terms of staying in the project. But in the meantime, this is the money that has been saved. If in any month we are unable to save, don't worry, the money hasn't gone anywhere, but in the 2nd time of notifying the completion of the project, we must request permission to stay at 2nd. year because now we want customers to be able to receive and send benefits for at least 2 years before for the project. If we assume that it is as said, if we assume that in the second year we only send, we pay only the first month."
160.700,167.100,จากนั้นเราไม่ใส่เลยคือจะเกิดอะไรขึ้นแต่ว่าเราก็ไม่ได้เราไม่ออมต่อถูกต้องไหมคะ,"Then if we don't put it in at all, what will happen? But if we don't get it, we won't continue saving, is that correct?"
167.600,227.400,"ใช่ค่ะขาก็ได้รับในส่วนของเขาเรียกว่าอันนี้ขออนุญาตชี้แจงนิดน้องนะว่าถ้าหลัง 2 ปีอ่ะค่ะก่อน 2 ปีน้องอาจจะมีใน 2 เขาเรียกว่าค่ำดำเนินการค่าเอกสารนิดหน่อยแต่ซึ่งตรงนี้ไม่ได้มากมายอะไรเพราะว่าในส่วนของเขาเลือกเป็นการแจ้งจบตรวจโครงการก่อนเพราะตกลงการตรงนี้ค่ะระบุว่าขออนุญาตขั้นต่ำ 2 ปีแต่ถ้าหากสมมุติว่าก่อนนั้นนะคะอาจจะมีค่าดำเนินการนิดหน่อยแต่ตรงเนี้ยค่ะไม่ได้หักไปมากอะไรเพราะสุดท้ายแล้วมันก็เป็นเงินเก็บเงินออมของเราประมาณเท่าไหร่คะค่าดำเนินการคิดถึง 1,000 บาทอันนี้ขออนุญาตถ้ามีส่งของหลักฐานการออมจัดส่งเข้าไปอ่ะค่ะคุณพี่มีกระดาษสามารถอ่านรายละเอียดดูได้เลยว่าตัวนี้ค้านเราออกอันนำในส่วนของออกในณปีไหนอ่ะค่ะได้จากจะได้นำเงินคืนเราเท่าไหร่ตัวนี้รายละเอียดทั้งหมดตรงนั้นมันจะชัดเจนมากกว่าเนาะเพราะว่าในส่วนหลักหลักฐานการออมแต่ละคนนะคะตอนนี้ค่ะในของลูกค้าแต่ละท่านจะไม่เหมือนกันตรงนี้อาจจะไม่ได้มีแจ้งได้แต่ตอนนี้ค่ะสามารถแจ้งโดรายละเอียดตรงนี้ได้เลยค่ะก็คือสรุปว่าไม่ครบ 2 ปีได้แต่","Yes, I received it on his part. It's called this. Please allow me to clarify a little bit. If it's after 2 years, before 2 years, you might have it in 2. They call it a small fee for processing the documents, but here it's not. What's so much? Because on his part he chose to notify the completion of the project inspection first because the agreement here stated that permission would be required for a minimum of 2 years, but if we assume it was before that, there might be a small processing fee, but here it is, no. How much has been deducted? Because in the end, it is about how much of our savings? The processing fee is about 1,000 baht. I would like to request permission if there is evidence of savings to be sent in. I have a piece of paper so I can read the income. In detail, you can see that this one was against us in which year it was issued, from how much money will be refunded to us. This one, all the details there will be more clear because in the main part of the evidence. Savings for each person right now, each customer's savings will be different. You may not be able to inform us here, but right now you can inform us of the details here. In summary, it is not complete for 2 years. I can only"
