Start time,End time,Transcript,English Translation
8.800,13.100,ค่ะน้องณัฐพงษ์พี่อันนี้น้องนันทพงศ์ใช้ 2 ซิมไหมคะ,"Yes, Nong Natthaphong, does this one Nong Nanthaphong use 2 SIM cards?"
18.700,19.700,หนูใช้เบอร์อะไร,What number do you use?
20.200,21.200,ตอน,section
22.100,28.400,นี้พี่โทรมาเบอร์ไหนเบอร์ 095 ไหมอ๋อตามหน้าระบบที่จะไม่เห็นค่ะมันผิดกฎหมายค่ะ,"Which number are you calling, number 095? Oh, according to the system page, I won't see it. It's against the law."
33.500,36.000,เพราะว่าอันนี้ที่พี่โทรหาน้องเป็นเบอร์อะไรอ่ะคะ,Because this is the number that I called my younger sister. What is this number?
44.900,47.700,อันนี้น้องมีบัตรเครดิตไหมไม่ได้มีใช่ไหม,Do you have a credit card or not? Don't you?
52.800,59.300,หนูให้บอกพี่ 2 เบอร์เลยก็ได้เดี๋ยวพี่ลองโทรดู,I can give you 2 numbers. I'll try calling.
59.800,62.100, 061,061
65.800,71.300, ครับ,yes
76.500,88.400, 7 5 2 7 3 7 5 2 7 นะครับ 2 เบอร์นี้เนาะแล้วอันนี้หนูมีเพื่อนอยู่ข้างๆไหมที่ที่พอจะปล่อย Hotspot ให้หนูได้บ้างมีไหม,7 5 2 7 3 7 5 2 7 These 2 numbers are good. Do you have a friend next to you who can set up a Hotspot for me?
89.600,99.000,ไม่ๆยืนไม่มีเพราะว่าตอนนี้ครับผมปล่อยเพราะไอ้ฮอตสปอตใส่เครื่องผมเองอ๋อก็คือใส่เครื่องที่จ่ายผ่านแอปถูกมั้ย,"No, there isn't any, because right now, I'm releasing it because the hotspot is on my own device. Oh, it means putting it on the device that I paid for through the app, is that right?"
99.800,108.800,น้องต้องทำทีละขั้นตอนอันนี้น้องถึงขั้นตอนไหนแล้วทำไปพร้อมพี่ได้ไหมเพราะว่าน้องเปิดลำโพงอยู่มั้ยหรือว่าไง,You have to do this one step at a time. Which step do you get to? Can you do it together with me? Is your speaker on or what?
110.200,144.900,ผมผมเข้ามาหน้าจานบินแล้วแล้วมันแล้วมันขึ้นว่าเลือกเลือกผู้ให้บริการเพื่อจะเอาแพ็คเกจเสริมมือถือสมัครบริการหักบัญชีฝากอัตโนมัติแล้วก็รายการล่วงหน้าเดี๋ยวๆพี่น้องณัฐพงษ์ฟังพี่นิดนึงนะตอนที่น้องเข้าไปหน้าธุรกรรมนะน้องเลือกคำว่าจ่ายบิลน้องจิ้มเข้าไปที่คำว่าจ่ายบิลถูกไหมน้องๆจะเจอ Reference ยาวๆเนาะใส่รหัสบริษัทนะคะ 0216 ในช่องค้นหาทำไมมันขึ้น,"I came in front of the flying saucer and it said select a service provider to get a mobile phone add-on package, apply for automatic debit service and an advance transaction. Wait a minute, Natthaphong brothers and sisters, listen to me a little while you go in. On the transaction page, select the word pay bill. Click on the word pay bill correctly. You will see a long Reference. Enter the company code 0216 in the search box. Why does it come up?"
146.500,177.900,มันขึ้นคำว่าจ่ายบิลแล้วก็มันมีมันมีแค่คำว่าเลือกเลือกผู้ให้บริการแล้วก็แพ็คเกจเสริมมือถือสมัครบริการหักบัญชีอัตโนมัติหนูฟังพี่ทีละขั้นตอนก่อนนะสมมุติหนูเข้าไปที่หน้าธุรกรรมนะหนูจะเลือกคำว่าจ่ายบิลถูกต้องไหมคำว่าจ่ายบิลเนี่ยมันก็จะเจอคำว่าจ่ายบิลแล้วติ๊กเข้าไปเพราะติ๊กเข้าไปจะเจอช่องเลย Reference ยาวๆที่มีรูปแว่นขยายเจอใช่ไหม,"It says pay bill and then there is just the word choose, choose a service provider and mobile phone add-on package, apply for automatic debit service. I'll listen to you step by step first. Let's say I go to the transaction page and I'll choose. Is the word ""pay bill"" correct? The word ""pay bill"" will find the word ""pay bill"" and then check it, because by checking it you will find a long reference box with a magnifying glass picture, right?"
180.300,181.800,อันนี้หรอใช่,Is this this?
182.500,193.900,ที่อันนี้มันมีขึ้นนะพี่เพราะว่าอันนี้มันเป็นแอปกรุงเทพฯที่ผมโอนเนี่ยอ้าวแอปกรุงเทพฯนะหนูไม่บอกพี่เล่าพี่จะได้ชมกันก่อนแล้วกรุงเทพฯเหรอโอเคพี่ส่งแอปธนาคาร,"This one happened because this one was the Bangkok app that I transferred. Oh, it's the Bangkok app. I'm not telling you. We'll see first. And Bangkok? Okay, I sent the bank app."
195.300,199.900,ก็คือเอางี้พี่ถามอย่างงี้ก็คือเงินอ่ะอยู่ในแอปกรุงเทพฯถูกมั้ย,"Well, I'm asking like this, is the money in the Bangkok app? Is that right?"
200.800,204.000,แล้วหนูมีแอป SCB ด้วยไหม,And do you have the SCB app as well?
205.200,216.100,อ่าโยกเงินเข้าแอป SCB มั้ยมันจะได้ขั้นตอนมันจะได้ง่ายหรือว่าหนูจะสะดวกทำที่กรุงเทพฯ,"Ah, transfer money into the SCB app or not. Will the steps be easy or will it be convenient for me to do it in Bangkok?"
217.600,224.700,ของผมทำกรุงเทพฯก็ได้ถ้าหนูสามารถโยกเงินมาใส่แอป SCB ได้ไหม,I can do it in Bangkok if I can transfer the money to the SCB app.
226.100,228.000,เดี๋ยวพี่จะได้บอกไปพร้อมๆกันเลยเนี่ย,I'll tell you together soon.
229.700,262.200,หนูโอนเงินหนูโอนเงินจากกรุงเทพฯเนี่ยเข้า SCB แล้วก็จ่ายบิลตามขั้นตอนที่พี่ส่งให้ไปใน LINE ง่ายกว่าใช่เพราะว่าพี่ตอนแรกพี่นึกว่าน้องตาย SCB ทำไมน้องทำไม่ได้เนาะเอออ่ะๆๆง่ายๆก็คือสรุปนะน้องโยกเงินจากกรุงเทพฯเข้า SCB เลยแล้วน้องทำตามขั้นตอนที่พี่ส่งไปใน LINE โอเคได้ๆมันจะได้สะดวกรวดเร็วที่จะได้รีบลงทะเบียนให้โอเคโอเคจ้าสวัสดีค่ะ,"I transferred money. I transferred money from Bangkok to SCB and then paid the bill according to the steps that you sent me on LINE. It's easier, because at first I thought that my younger brother died. Why can't SCB do it? It's easy. In summary, I transferred money from Bangkok to SCB and then followed the steps that I sent on LINE. OK. It will be convenient and quick so that you can quickly register. OK. OK. Hello."
