Start time,End time,Transcript,English Translation
9.200,42.200,ดูแลลูกค้าจากบริษัทไทยพาณิชย์โปรเทคค่ะคุยสายได้สักครู่นะคะขอบพระคุณค่ะขออนุญาตติดต่อเข้ามาดูแลค่ะเป็นการเรียนแจ้งครรภ์สำหรับลูกค้าธนาคารไทยพาณิชย์ค่ะแคมเปญนี้ใครๆในส่วนการฝากออมทรัพย์ฝากประจำแต่ผลตอบแทนที่มอบให้ค่ะจะเป็นเด็กการันตีจะไม่ใช่ดอกเบี้ยเมื่อต้นคนนี้สอบถามค่ะปกติพี่เมญาดาได้มีการเก็บออมนะรูปแบบไหนเป็นส่วนใหญ่ไหมคะก็เก็บออมในธนาคารนะคะเป็นบัญชีออมทรัพย์ฝากประจำอยู่แล้วเนาะ,"Taking care of customers from Siam Commercial Bank Pro Tech. You can talk on the phone for a moment. Thank you. Please allow me to contact you to take care of you. This is a pregnancy notification study for Siam Commercial Bank customers. This campaign is for everyone in the savings deposit section, fixed deposits, but the results In return for giving, it will be a child, guaranteed that there will be no interest. When this person first asked, does P'Meyada normally have any form of savings? Mostly, she saves in the bank. It's a savings account. I already have a regular deposit."
44.700,48.400,เดี๋ยวตอนนี้ลองพิจารณาผลตอบแทนจากโครงการดูก่อนได้นะคะ,Now let's try to consider the returns from the project first.
49.000,108.800,"ในการรบลูกค้าโครงการที่มาเรียนแจ้งตรงนี้ค่ะลักษณะโครงการคล้ายๆกับการที่เรานำเงินไปฝากออมทรัพย์ฝากประจำในแต่ละเดือนเลยค่ะแต่ว่าผลตอบแทนค่ะที่เรามอบให้จะอยู่ในเรทการันตีจะมีเพศดอกเบี้ยเหมือนน้ำแดงนะคะการเก็บออมแต่ละเดือนตอนนี้ลูกค้าสามารถเลือกได้เลยค่ะว่าอยากเก็บอยากออมเดือนละเท่าไหร่สามารถปรับเพิ่มปรับลดตามความเหมาะสมได้มีตั้งแต่ 2,000 บาทสูงสุดได้อยู่ที่ 8,000 บาทต่อเดือนเลยแต่เบื้องต้นตรงนี้เดี๋ยวหนูขออนุญาตยกตัวอย่างไปในส่วนของเรทออมยอดนิยมนะคะตกเฉลี่ยวันละ 90 บาทหรือเดือนละ 2,700 บาทถ้าตัวนี้ค่ะหากเทียบกับการที่เรานำเงิน 2,700 บาทค่ะไปฝากออมกับบัญชีปกติปีนึงมีเงินเก็บอยู่ที่ 32,400 บาทแต่ดอกเบี้ยที่ได้รับอ่ะค่ะยังไงก็ไม่เกิน 1% เหลือไม่เกิน 60 บาทต่อปีถูกต้องไหมคะแต่ถ้าเป็นตัวโครงการนี้ค่ะเก็บออมจำนวนเท่ากันเลยแต่ผลตอบแทนที่จะได้ค่ะจะได้รับเป็นเช็คการันตีเงินคืนอยู่ที่ปีละ 3,200 บาทรับ 3,200 บาทต่อปีตั้งแต่ปีแรกที่","In combating project customers who come to study, please inform us here. The nature of the project is similar to how we put money into savings and fixed deposits each month, but the returns we give will be at a guaranteed rate. The interest rate is like red water. Saving each month now allows customers to choose how much they want to save per month. They can increase and decrease as appropriate, starting from 2,000 baht, with a maximum of 8,000 baht per month. But as a starting point here, I would like to ask permission to give an example in terms of the most popular savings rates. The average is 90 baht per day or 2,700 baht per month if this one is compared to when we put 2,700 baht into savings. With a normal account, one year there is 32,400 baht saved, but the interest received is not more than 1%, leaving no more than 60 baht per year, is that correct? But if it was this project, I would save the same amount. But the return you will receive will be a check guaranteeing a refund of 3,200 baht per year. Receive 3,200 baht per year from the first year."
108.900,168.900,เหลือตัวโครงการค่ะจะไม่มีการหักภาษีใดๆทั้งสิ้นได้รับผลประโยชน์เต็มจำนวนแน่นอนและที่สำคัญสามารถใช้ตัวโครงการค่ะไปยื่นลดหย่อนภาษีได้อีกด้วยไม่ทราบว่าปัจจุบันพี่เมลดาเป็นในส่วนพนักงานประจำข้าราชการหรือเจ้าของธุรกิจค่ะตอนนี้เป็นพนักงานนะคะค่ะได้มีการเสียภาษีประจำปีบ้างหรือยังคะนอกจากจะได้เก็บได้ออมแล้วสามารถนำตัวโครงการค่ะไปยื่นลดหย่อนภาษีได้ด้วยนะคะของ 100% ซึ่งโครงการของเราค่ะจะเน้นให้ลูกค้าได้เก็บออมมาได้ใช้เงินทุกปีเพราะผลตอบแทนค่ะเราจ่ายให้ปีต่อปีเลยตั้งแต่ปีแรกเงื่อนไขตัวโครงการตรงนี้ค่ะมีอยู่ว่าลูกค้า 1 ท่านนะคะสามารถเก็บออมกับตัวโครงการอ่ะค่ะขั้นต่ำอ่ะค่ะอยู่ที่ 2 ปีเท่านั้นนะคะแต่สูงสุดราคาห้ามเกิน 14 ปีสำหรับลูกค้า 1 ท่านค่ะเพราะหลังจาก 14 เป็นต้นไปค่ะเราจะให้ลูกค้าหยุดการเก็บการออมได้เลยทันทีไม่ต้องส่งออมเข้ามากับทางโครงการแล้วแต่ถ้าหากช่วงนั้นเรายังไม่ได้มีแพลนท์รีบใช้เงินก้อนค่ะและอยากได้รับผลประโยชน์,"There will be no tax deductions left for the project. You will receive full benefits for sure. And most importantly, you can use the project to apply for tax deductions as well. I don't know if Ms. Melda is currently a full-time employee, government official, or a business owner. Yes, I am now an employee. Have I paid annual taxes yet? In addition to being able to save, I can apply for a 100% tax deduction from the project, which our project will focus on. Customers have been able to save and use the money every year because of the returns. We pay year after year from the first year. The conditions for the project here are that 1 customer can save with the project. It's a minimum. It's only 2 years, but the highest price cannot exceed 14 years for 1 customer because after 14 years onwards, we will allow customers to stop saving savings immediately, no need to send savings into the project, but if the period We still don't have a plan and are in a hurry to spend a lump sum of money and want to receive benefits."
168.900,228.100,"ต่อตัวนี้ก็สามารถใช้สิทธิ์คงเงินต้นต่อกับทางโครงการได้อีก 10 ปีโดยการคุมเงินต้นตรงนี้ค่ะก็เปรียบเสมือนการเราปล่อยฝากเงินทิ้งไว้ให้ฝากเงินต่อไว้แต่เราไม่ต้องฝากเพิ่มและในส่งผลตอบแทนค่ะเราจะ Top Up คูณ 2 ให้จากเดิมช่วงที่เราเก็บออมมาค่ะเรารับปีละ 3,200 บาทเนาะช่วงที่แค่นอนเงินไว้ค่ะจะได้รับเพิ่มเป็นปีละ 6,400 บาทเลยไม่ต้องเก็บไม่ต้องออมแล้วแต่ว่าตอนนี้เปรียบเสมือนให้เราเป็นเสือนอนกินค่ะให้เงินของเราได้ทำงานแทนให้ตัวนี้ค่ะรับ 6,46,400 6,400 เข้ากระเป๋าให้เราได้ใช้จ่ายโดยทุกปีเลยรวมตลอดโครงการค่ะที่จะได้รับเป็นจำนวนเงินจะอยู่ที่ 492,800 บาทเลยแล้วปัจจุบันพี่มีรายได้เป็นครอบครัวหรือยังคะยังนะคะเพราะที่หนูเรียนผ่านแบบนี้ค่ะสำหรับลูกค้าที่เข้าร่วมเก็บออมด้วยกันค่ะในระหว่างการเก็บออมเราจะมอบในส่วนของทุนคุ้มครองชีวิตให้ด้วยเป็นคุณคุ้มครองการเสียชีวิตกรณีนะคะ 384,000 บาท","With this one, you can use the right to continue to maintain the principal with the project for another 10 years by controlling the principal here. It's like leaving the money to be deposited to keep the money, but we don't have to deposit more and send returns. Yes, we will Top Up by 2 times from the original period when we were saving. We received 3,200 baht per year. During the period when we were just laying down the money, we would receive an increase of 6,400 baht per year, so there is no need to save or save, depending on the time. This is like letting us be a sleeping tiger, letting our money work instead of this one, receiving 6,46,400 6,400 into our pockets for us to spend every year, total throughout the project, the amount we will receive will be 492,800. baht. Do you currently have income as a family or not? Because I passed my studies like this. For customers who join in saving together, during the savings, we will provide a life protection fund as well. You are covered for death in the event of 384,000 baht."
228.800,288.700,"คือการดูแลตรงนี้ไม่ต้องซื้อหรือจ่ายเพิ่มแม้แต่บาทเดียวค่ะเรามอบการดูแลให้เลยสำหรับลูกค้าแคมเปญฟังผลประโยชน์ทั้งหมดตัวนี้ค่ะคุณพี่มองว่าถ้าเป็นการเก็บออมเดือนละ 2,700 ตัวนี้ดูเป็นไงบ้างคะสูงไปต่ำไปหรือพอดีแล้วคะก็โอเคนะคะแบบอันนี้คือเราจะต้องถ้าเกิดว่าสนใจหมายถึงว่าเราก็จะต้องทำเรื่องทำโทรศัพท์แบบไม่สามารถไปทำขอทำที่ธนาคารได้ใช่ไหมคะถ้าเป็นในส่วนของตัวโครงการการเข้าร่วมพอร์ตการทำเขาเรียกว่าการเข้าร่วมโครงการน่ะค่ะตัวนี้ค่ะสามารถแจ้งลงทะเบียนรับสิทธิ์กับเจ้าหน้าที่ได้เลยแต่ใน 2 ขั้นตอนการเก็บออมตรงเนี้ยคุณเมย์รดาสามารถทำรายการได้เองเลยนะคะทำด้วยการทำรายการได้เองผ่านแอพธนาคารของลูกค้าที่ใช้อยู่เป็นประจำได้เลยเพราะตรงนี้ค่ะตัวโครงการอ่ะเราจะไม่ได้เรียนเชิญลูกค้าทุกท่านเฉพาะลูกค้าที่ได้รับสิทธิ์เรียนเชิญเข้ามาเท่านั้นเพราะตัวโครงการนี้ค่ะจะเป็นโครงการพิเศษฉลองครบรอบ 100 18 ปีผลประโยชน์เลยค่อนข้างแตกต่างจากตัวโครงการอื่นค่ะแต่จริงๆตรงโครงการนี้ค่ะในส่วนของเรทการ","That is, to take care of this, you don't have to buy or pay even a single baht more. We provide care right away for customers in the campaign to listen to all of these benefits. What do you think if it's a monthly savings of 2,700, how does this look? It's high. If it's too low or just right, it's ok. Like this, we'll have to do it if we're interested. That means we'll have to do a phone call in a way that we can't go and do it at the bank, right? If it's As for the project itself, joining the portfolio is called joining the project. For this one, you can register to receive rights with the officials, but in 2 steps to save money directly, Ms. Mayrada. You can do the transaction yourself. You can do it by doing the transaction yourself through the bank app that the customer uses regularly. Because here, for the project, we will not invite all customers, only customers who have Receive the right to invite only because this project will be a special project celebrating the 100th anniversary of 18 years, so the benefits are quite different from other projects, but really this project is about the rate."
288.700,348.600,"ยอมคุณเมลดาปักเพิ่มปรับลดตามความเหมาะสมตามความต้องการได้เลยนะว่าตอนนี้อยากเก็บจากออมเดือนละเท่าไหร่ถ้าตัวนี้อย่าเก็บจากออมให้ตัวเองสัก 1 ก้อนอย่าเก็บออมประมาณเดือนละเท่าไหร่คะประมาณมัน Max ได้ 8,000 ใช่ไหมคะถูกต้องค่ะถ้าเป็นในส่วนของเดี๋ยวขออนุญาตยกตัวอย่างเป็นเด็ดใกล้เคียงเนาะถ้าเป็นในส่วนของเรทเดือนละ 4,000 บาทอ่ะค่ะทุกๆ 1 ปีจะได้รับเช็คการันตีกันคืออยู่ที่ปีละ 4,800 บาทรับ 4,800 บาทต่อปีตั้งแต่ปีแรกที่คุณมีการเก็บออมเข้ามาเลยตัวโครงการตอนนี้เหมือนกันเลยค่ะขั้นต่ำ 2 ปีสูงสุดได้ไม่เกิน 14 ปีหลังจากปีที่ 14 ตอนนี้ถ้าเราหยุดเก็บหยุดออมแล้วอยากได้รับผลประโยชน์ต่อก็แน่นอนเงินวัยและผลตอบแทนจาก Top Up เป็นปีละ 9,600 มอบทุนคุ้มครองการเสียชีวิตกรณีขายอยู่ที่ 576,000 บาทแล้วก็ตอนนี้ค่ะตลอดโครงการจะรับอยู่ที่ 739,200 บาทเลยแต่ถ้าตรงนี้ราคาเป็นเรทที่ออมที่สูงสุดเลยค่ะเดือนละ 8,000 บาททุกๆ 1 ปีจะได้รับเช็คการันตีเงินคืนที่","Allow Khun Melda to increase and decrease as appropriate according to your needs. Now, how much do you want to save from savings per month? If this is the case, don't save 1 lump sum from savings for yourself. Don't save approximately how much per month. It's estimated that the Max is 8,000, right? That's correct. If it's in the immediate section, please allow me to give an example that's close to it. If it's in the monthly rate section of 4,000 baht, every 1 year you'll get a guaranteed check. At 4,800 baht per year, receive 4,800 baht per year from the first year you have savings coming in. The project is now the same, minimum 2 years, maximum 14 years after the 14th year. Now if we stop If you stop saving and want to continue receiving benefits, of course, the money and return from Top Up is 9,600 per year. The death protection fund in case of sale is 576,000 baht and now, throughout the project, you will receive 739,200 baht. But if this price is the highest savings rate, 8,000 baht per month, every 1 year you will receive a money back guarantee check."
348.700,350.100,"ดอกเบี้ยปีละ 10,000 บาทเลย","Interest is 10,000 baht per year."
351.300,411.000,"รับ 10,000 บาทต่อปีตั้งแต่ปีแรกที่ออมขั้นต่ำ 2 ปีเหมือนกันค่ะแต่สูงสุดได้ไม่เกิน 14 ปีถ้าเกิดออมครบ 14 ปีแล้วช่วง 14 ช่วง 10 ปีหลังเราก็ไม่ต้องเก็บไม่ต้องออมถ้ายังไม่ได้รีบใช้เงินก้อนก็แค่คงเงินต้นไว้เพื่อรับผลประโยชน์ต่อและผลประโยชน์จาก Top Up เป็นปีละ 25,000 ค่ะรวมตลอดโครงการจะได้รับอยู่ที่ 1 แล้ว 1 ล้าน 5 แสนบาทเลยและยังคุ้มครองการเสียชีวิตทุกกรณีด้วยค่ะอยู่ที่ 1,200,000 บาทแต่ว่าเราต้องเลือกเลือกตั้งแต่ตอนจะเริ่มสั่งประจำเลยใช่ไหมคะว่าเราจะแบบฝากไปกี่ปีถ้าตัวนี้อย่างที่แจ้งค่ะว่าอ่าถ้าในส่วนของการเก็บออมเนี่ยสมมติตัวเจ้าหน้าที่เป็นคนผลิตออกเองเนาะสมมุติว่าเราเข้าร่วมโครงการอย่างเป็นเดทเริ่มต้นเนาะเรทพิเศษอ่ะเดือนละ 2,700 บาทเราเก็บออมไปก่อนแต่ถ้าตัวนี้ค่ะสมมุติว่าพวกอย่างที่แยกณขั้นต่ำ 2 ปีแต่ถ้าสมมุติเก็บออมไป 3-4 ปีหรือแม้แต่ 2 ปีก็แล้วแต่ค่ะเราเกิดอยากหยุดพอเท่านี้อ่ะค่ะแล้วก็หยุดได้หยุดและแกล้งชมตรงกลางเพราะว่าเงินต้นกับเงินคืนเราจ่ายแยกกันให้อยู่แล้วนะคะ","Receive 10,000 baht per year from the first year with a minimum of 2 years of savings as well, but a maximum of no more than 14 years. If you've already been saving for 14 years, during the 14th and last 10 years, we don't have to save. You don't have to save if you're not in a hurry. Using a lump sum, just keep the principal to receive further benefits and benefits from Top Up to 25,000 per year. Total throughout the project, you will receive 1, 1 million, 5 hundred thousand baht and will also be covered against death in all cases. At 1,200,000 baht, but we have to choose from the moment we start ordering regularly, right? How many years are we planning to deposit? Out on your own, let's say we join the project as a starting date, a special rate of 2,700 baht per month, we save first, but if this one, let's say things like that are separated for a minimum of 2 years, but if let's say we save for 3 -4 years or even 2 years, it depends. I just happen to want to stop for this amount. Then I can stop and pretend to admire the middle because the principal and the money back are already paid separately."
411.200,438.600,เกี่ยวกันเพราะยังไงเราก็ได้รับเงินคืนกลับไปอยู่แล้วหนู 100% มันจะพิเศษตรงที่ถ้าหากเกิดออมครบ 14 ปีแล้วเราก็เลือกได้ว่าจะรับผลประโยชน์เพียงเท่านี้หรือว่าอยากได้รับผลประโยชน์ต่อถ้าอยากได้รับผลประโยชน์ต่อก็แค่คงเงินต้นไว้เหมือนฝากต่อแต่เราไม่ต้องฝากเพิ่มผลตอบแทนก็ Top Up เป็นคุณสองให้อยากเก็บอย่างออมอย่าเก็บออมประมาณเดือนละเท่าไหร่ดีคะ,"It's related because we already get 100% money back. It's special in that if we've been saving for 14 years, we can choose whether to receive this benefit or whether we want to continue receiving the benefit. If you want to continue receiving benefits, just keep the principal like you would with a further deposit, but we don't have to deposit to increase the return. Top Up is the two of you. If you want to save, don't save about how much per month."
