Start time,End time,thai_transcript,translation
7.6,10.8,เรียบร้อย แล้ว นะ,All set.
12.6,13.3,เดี๋ยว นะ,Just a moment
15.7,17.2,สวัสดี,Hello
29.4,32.0,วันสุดท้ายพรุ่งนี้ถึงจะได้หยุด,"The last day is tomorrow, then I will get to rest."
38.6,45.0,ของผม ผมพึ่งจะกินมาเมื่อวานนี้ มาถึงบ้านแล้ว หยุดกี่วันเนี่ย,I just ate yesterday. I arrived home already. How many days off is this?
46.2,47.2,ผมหยุด 10 วัน,I stopped for 10 days
60.6,63.4,ผมไปอยู่ภูเก็ตมาได้ 14 ปีแล้ว,I have been living in Phuket for 14 years.
72.5,75.1,ภูเก็ตตอนนี้เป็นไงบ้าง ดีไหม เศรษฐกิจ,How is Phuket doing now? Is the economy good?
76.2,86.6,ก็ภูเก็ตตอนนี้มันก็นักท่องเที่ยวเยอะอยู่ มันก็เริ่มกลับมาแล้วเนาะ ส่วนมากก็จะมีแต่พวกรัสเซียกับฝรั่งเศส,"Well, Phuket has a lot of tourists now. It's starting to come back. Mostly there are Russians and French."
89.9,91.5,เยอะ,a lot
97.9,99.3,มันบอกว่าเชื่อมต่อช้า,It says the connection is slow.
101.3,102.6,อันนี้ ใช้ อีกเครื่องนึง แล้วหรือยัง,Has this been used with another machine yet?
103.7,113.9,ไม่มีเน็ต,No internet
128.3,130.0,เข้าได้ยัง หมุนอยู่,Still spinning
142.7,163.6,มันบอกว่าไม่เชื่อมต่อ ถ้าอย่างนั้นเดี๋ยวนะ เราใช้ LINE เราเพิ่มไลน์ก่อนได้ไหม เดี๋ยวพี่ส่งขั้นตอนการจ่ายบิลให้ใน LINE แล้วพอเราส่ง พอเราจ่ายบิลเสร็จ เราส่งสลิปกลับมาให้พี่ แล้วพี่จะโทรไปสรุปความคุ้มครองให้ อันนี้อ่ะ ถ้าอย่างนั้นเราเพิ่มเพิ่มลายของทางบริษัทนิดนึง,"It says it's not connected, so wait a moment. Can we use LINE? Can we add LINE first? I'll send you the steps to pay the bill on LINE. Once we send it, once we finish paying the bill, we'll send the slip back to you and I'll call to summarize the coverage for you. So in that case, let's add a little bit of the company's pattern."
171.8,186.5,ครับ ผมเราเข้าไปที่ LINE นะ แล้วเพิ่มเพื่อน เบอร์มือถือ เพิ่มที่ช่อง เบอร์มือถือ ติ๊ก เบอร์มือถือ อ่ะ 080-6090327,"Okay, go to LINE, then add a friend, mobile number, add in the mobile number field, tick the mobile number, which is 080-6090327."
197.0,204.6,09 0327,09 0327
217.7,219.7,เราเข้าไปเพื่อเพิ่มที่ LINE เนอะ,"We went in there to add it on LINE, right?"
222.7,240.6,คุยแล้วมัน คุยโทรศัพท์แล้วมันเพิ่มเพื่อนไม่ได้อ่ะพี่ อ๋อเน็ตไม่มีหรอ โอเค เราจำเบอร์ไว้นะ ว่าจะเป็น 6 เอ่อ 060806090327 นะ ถ้างั้นเดี๋ยวผมเพิ่มเพื่อนก่อน,"We talked and he talked on the phone, but he couldn't add friends. Oh, there's no internet? Okay, I'll remember the number. It will be 6, uh, 060806090327, right? If so, let me add you as a friend first."
